編號,老師姓名,全銜,系所,負責計畫,場域,執行時間,計畫議題,SDGs關聯議題,第一期,第二期,第三期,第四期
7,張玲慧,副教授,職能治療學系,相伴2026：齡感生活微社群行動網計畫協同主持人4,,,,,,V,,
8,黃百川,助理教授,職能治療學系,相伴2026：齡感生活微社群行動網計畫協同主持人5,,,,,,V,,
9,劉世南,所長,創意產業研究所,相伴2026：齡感生活微社群行動網計畫協同主持人6,,,,,,V,,
10,黃國平,教授,交通管理學系,相伴2026：齡感生活微社群行動網計畫協同主持人7,,,,,,V,,
11,宋立文,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人8,,,,,,V,,
12,陳震宇,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人9,,,,,,V,,
13,辛柏毅,兼任教師,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人10,,,,,,V,,
14,潘振宇,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人11,,,,,,V,,
15,吳玉成,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人12,,,,,,V,,
16,馬敏元,教授,工業設計系,相伴2026：齡感生活微社群行動網計畫協同主持人13,,,,,,V,,
17,盧紀邦,博士後研究員,人文社會科學中心博士後研究員,相伴2026：齡感生活微社群行動網計畫協同主持人14,,,,,,V,,
18,張珩,特聘教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人15,,,,,,V,,
19,楊詩弘,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人16,,,,,,V,,
20,蔡寧,專案講師,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人17,,,,,,V,,
21,鄭淑惠,助理教授,心輔組,相伴2026：齡感生活微社群行動網計畫協同主持人18,,,,,,V,,
22,徐欣萍,助理教授,心理系,相伴2026：齡感生活微社群行動網計畫協同主持人19,,,,,,V,,
23,張巍勳,副教授,國際經營管理研究所,相伴2026：齡感生活微社群行動網計畫協同主持人20,,,,,,V,,
24,盧紀邦,博士後研究員,人社中心,相伴2026：齡感生活微社群行動網計畫協同主持人21,,,,,,V,,
